id_marca,marca
1,ParaísoFrutal
2,TropicalSabor
3,DeliciaNaturaleza
4,EmbrujoFrutal
5,ExóticoManjar
6,SinfoníaDelicias
7,PlacerFrutado
8,CítricosSelectos
9,RicoBosque
10,AromasCelestiales
11,RincónFrutas
12,GourmetFrutas
13,CosechaDivina
14,JugosoAroma
15,SabrosoEdén
16,DulzuraSilvestre
17,PaladarDorado
18,FrescuraMágica
19,EncantoNativo
20,MaravillaJugosa
21,FrescoDelValle
22,FrescuraInigualable
23,DulceEncanto
24,ArteFrutal
25,FantasíaDelicia
26,VibranteSabores
27,TesoroNaturaleza
28,ManjarFruity
29,SaborNativo
30,DeliciosoEdén
31,AventuraFrutal
32,ExquisitoJardín
33,FrutaDulce
34,FiestaSabor
35,BrisaFrutal
