id_proveedor,proveedor
1,Agricultura Inteligente TechCultivos
2,Semillero Genético BioCampo
3,Pesca Sustentable Oceanica
4,Carnes Sostenibles CampoReal
5,Silos y Almacenes AgroVault
6,Veterinaria EcoAnimal
7,Agronutrientes del Futuro
8,BioCosecha Orgánica
9,Pecuaria Moderna Alcaraz
10,Avícola San José
11,Fertilizantes Naturales del Valle
12,Herramientas Agroindustriales Gómez
13,AgroEnvases Sostenibles
14,AgroSoftware Soluciones
15,Semillas Innovadoras S.A.
16,Ganadería Orgánica TierraFértil
17,Cultivos Hidropónicos Innovagro
18,AgroQuímicos Naturales BioCultivos
19,EcoFungicidas Morales
20,RiegoSmart Innovación
21,Energía Renovable AgroSol
22,Tecnosembradoras del Sur
23,Apícola EcoMiel
24,Insecticidas Ecológicos Reyes
25,Productos Lácteos EcoLeche
26,Agrícola Solaris Energía
27,Vivero Verde Esperanza
28,Cosechadoras Progresivas SA
29,Maquinaria Agrícola Avanzada
30,AgroSuministros del Campo
31,Tractores Eficientes Delgado
32,Mallas AgroProtección García
33,EcoRiego Soluciones
34,Reforestación Ecológica VerdeVida
35,Fitosanitarios BioPro
